Driver ID,Name,Class,Manufacturers,Models,Capabilities,Power Source
"door_controller_ac","Led Strip (Battery)","sensor","TS0041;TS0042;TS0043;TS0044;_TZ3000_01gpyda5;_TZ3000_0dumfk2z;_TZ3000_0ghwhypc;_TZ3000_0ht8dnxj;_TZ3000_0s1izerx;_TZ3000_26fmupbb;_TZ3000_4uuaja4a;_TZ3000_fllyghyj;_TZ3000_kmh5qpmb;_TZ3000_mcxw5ehu;_TZ3000_mmtwjmaq;_TZ3000_n2egfsli;_TZ3000_tk3s5tyg;_TZE200_81isopgh;_TZE200_bjawzodf;_TZE200_cwbvmsar;_TZE200_dwcarsat;_TZE200_m9skfctm;_TZE200_ryfmq5rl;TS0005;TS0006;TS0501","TS0001","onoff;dim;alarm_contact;measure_battery","battery"
"door_lock_battery","Door Lock (Battery)","sensor","TS0041;TS0042;TS0043;TS0044;_TZ3000_01gpyda5;_TZ3000_0dumfk2z;_TZ3000_0ghwhypc;_TZ3000_0ht8dnxj;_TZ3000_0s1izerx;_TZ3000_26fmupbb;_TZ3000_4uuaja4a;_TZ3000_fllyghyj;_TZ3000_kmh5qpmb;_TZ3000_mcxw5ehu;_TZ3000_mmtwjmaq;_TZ3000_n2egfsli;_TZ3000_tk3s5tyg;_TZE200_81isopgh;_TZE200_bjawzodf;_TZE200_cwbvmsar;_TZE200_dwcarsat;_TZE200_m9skfctm;_TZE200_ryfmq5rl;_TZE200_wfxuhoea;_TZ3000_1dd0d5yi;_TZ3000_2mbfxlzr;_TZ3000_46t1rvdu;_TZ3000_4rbqgcuv;_TZ3000_5e2f3n2h;_TZ3000_8nkb7mof;_TZ3000_9hpxg80k;_TZ3000_aaifmpuq;_TZ3000_ali1q8p0;_TZ3000_bffkdmp8;_TZ3000_bn4t9du1;_TZ3000_cehuw1lw;_TZ3000_cfnprab5;_TZ3000_cphmq0q7;_TZ3000_cymsnfvf;_TZ3000_ddcqbtgs;_TZ3000_dfgbtub0;_TZ3000_dlhhrhs8;_TZ3000_dpo1ysak;_TZ3000_dziaict4","TS0001","locked;alarm_tamper;measure_battery;alarm_contact;alarm_battery","battery"
"door_window_sensor_battery","Door Window Sensor (Battery)","sensor","_TZ3000_01gpyda5;_TZ3000_0dumfk2z;_TZ3000_0ghwhypc;_TZ3000_0ht8dnxj;_TZ3000_0s1izerx;_TZ3000_26fmupbb;_TZ3000_4uuaja4a;_TZ3000_fllyghyj;_TZ3000_kmh5qpmb;_TZ3000_mcxw5ehu;_TZ3000_mmtwjmaq;_TZ3000_n2egfsli;_TZ3000_okohwwap;_TZE200_81isopgh;_TZE200_bjawzodf;_TZE200_cwbvmsar;_TZE200_dwcarsat;_TZE200_m9skfctm;_TZE200_pay2byax;_TZE200_ryfmq5rl;_TZ3000_1dd0d5yi;_TZ3000_2mbfxlzr;_TZ3000_46t1rvdu;_TZ3000_4rbqgcuv;_TZ3000_5e2f3n2h;_TZ3000_8nkb7mof;_TZ3000_9hpxg80k;_TZ3000_aaifmpuq;_TZ3000_ali1q8p0;_TZ3000_bffkdmp8;_TZ3000_bn4t9du1;_TZ3000_cehuw1lw;_TZ3000_cfnprab5;_TZ3000_cphmq0q7;_TZ3000_cymsnfvf;_TZ3000_ddcqbtgs;_TZ3000_dfgbtub0;_TZ3000_dlhhrhs8;_TZ3000_dpo1ysak;_TZ3000_dziaict4;_TYZB01_xph99wvr;_TZE200_nvups4nh","RH3001;TS0203;TS0601","onoff;measure_battery;measure_temperature;alarm_motion;measure_luminance;alarm_contact;alarm_battery","battery"
"doorbell_camera_ac","Doorbell Camera Ac","sensor","Signify Netherlands B.V.","HDB001","alarm_generic;alarm_motion","ac"
"doorbell_cr2032","Doorbell (Battery)","sensor","TS0041;TS0042;TS0043;TS0044;_TZ3000_01gpyda5;_TZ3000_0dumfk2z;_TZ3000_0ghwhypc;_TZ3000_0ht8dnxj;_TZ3000_0s1izerx;_TZ3000_26fmupbb;_TZ3000_4uuaja4a;_TZ3000_fllyghyj;_TZ3000_kmh5qpmb;_TZ3000_mcxw5ehu;_TZ3000_mmtwjmaq;_TZ3000_n2egfsli;_TZ3000_tk3s5tyg;_TZE200_81isopgh;_TZE200_bjawzodf;_TZE200_cwbvmsar;_TZE200_dwcarsat;_TZE200_m9skfctm;_TZE200_ryfmq5rl;_TZE200_wfxuhoea","TS0001","locked;measure_battery;alarm_contact;alarm_generic;volume_set","battery"
"energy_monitoring_plug_ac","Energy Monitoring Plug","socket","TS0041;TS0042;TS0043;TS0044;TS004F;TS0502B;TS0505B;_TZ1800_ejwkn2h2;_TZ1800_fcdjzz3s;_TZ2000_a476raq2;_TZ2000_avdnvykf;_TZ2000_hjsgdkfl;_TZ3000_01gpyda5;_TZ3000_0dumfk2z;_TZ3000_0ghwhypc;_TZ3000_0ht8dnxj;_TZ3000_0s1izerx;_TZ3000_26fmupbb;_TZ3000_4uuaja4a;_TZ3000_cehuw1lw;_TZ3000_cphmq0q7;_TZ3000_dbou1ap4;_TZ3000_fvh3pjaz;_TZ3000_g5xawfcq;_TZ3000_ji4araar;_TZ3000_n2egfsli;_TZ3000_odygigth;_TZ3000_qzjcsmar;_TZ3000_tk3s5tyg;_TZ3000_uim07oem;_TZ3000_vp6clf9d;_TZ3000_xabckq1v;_TZE200_81isopgh;_TZE200_m9skfctm;_TZE200_wfxuhoea;TS0005;TS0006;TS0501;_TZ3000_typdpbpg;_TZ3000_w0qqde0g;_TZ3000_8nkb7mof;_TZ3000_ew3ldmgx;_TZ3000_1h2x4akh;_TZ3000_dd8wwzcy","TS011F","onoff;measure_power;meter_power;measure_voltage;measure_current","ac"
"energy_monitoring_plug_advanced_ac","Energy Plug Advanced","socket","TS0041;TS0042;TS0043;TS0044;TS004F;TS0502B;TS0505B;_TZ1800_ejwkn2h2;_TZ1800_fcdjzz3s;_TZ2000_a476raq2;_TZ2000_avdnvykf;_TZ2000_hjsgdkfl;_TZ3000_01gpyda5;_TZ3000_0dumfk2z;_TZ3000_0ghwhypc;_TZ3000_0ht8dnxj;_TZ3000_0s1izerx;_TZ3000_26fmupbb;_TZ3000_4uuaja4a;_TZ3000_cehuw1lw;_TZ3000_cphmq0q7;_TZ3000_dbou1ap4;_TZ3000_fvh3pjaz;_TZ3000_g5xawfcq;_TZ3000_ji4araar;_TZ3000_n2egfsli;_TZ3000_npg02xft;_TZ3000_odygigth;_TZ3000_qzjcsmar;_TZ3000_tk3s5tyg;_TZ3000_uim07oem;_TZ3000_vp6clf9d;_TZ3000_xabckq1v;_TZE200_81isopgh;_TZE200_m9skfctm;_TZE200_wfxuhoea;TS0005;TS0006;TS0501;_TZ3000_typdpbpg;_TZ3000_w0qqde0g;_TZ3000_8nkb7mof;_TZ3000_ew3ldmgx;_TZ3000_1h2x4akh;_TZ3000_dd8wwzcy","TS011F","onoff;measure_power;meter_power;measure_voltage;measure_current","ac"
"energy_plug_advanced_ac","energy plug advanced","socket","TS0041;TS0042;TS0043;TS0044;TS004F;TS0502B;TS0505B;_TZ1800_ejwkn2h2;_TZ1800_fcdjzz3s;_TZ2000_a476raq2;_TZ2000_avdnvykf;_TZ2000_hjsgdkfl;_TZ3000_01gpyda5;_TZ3000_0dumfk2z;_TZ3000_0ghwhypc;_TZ3000_0ht8dnxj;_TZ3000_0s1izerx;_TZ3000_26fmupbb;_TZ3000_4uuaja4a;_TZ3000_cehuw1lw;_TZ3000_cphmq0q7;_TZ3000_dbou1ap4;_TZ3000_fvh3pjaz;_TZ3000_g5xawfcq;_TZ3000_ji4araar;_TZ3000_n2egfsli;_TZ3000_odygigth;_TZ3000_qzjcsmar;_TZ3000_tk3s5tyg;_TZ3000_uim07oem;_TZ3000_vp6clf9d;_TZ3000_xabckq1v;_TZE200_81isopgh;_TZE200_dwcarsat;_TZE200_m9skfctm;_TZE200_ryfmq5rl;_TZE200_wfxuhoea;TS0005;TS0006;TS0501;_TZ3000_typdpbpg;_TZ3000_w0qqde0g;_TZ3000_8nkb7mof;_TZ3000_ew3ldmgx;_TZ3000_1h2x4akh;_TZ3000_dd8wwzcy","TS011F","onoff;measure_power;meter_power;measure_voltage;measure_current","ac"
"extension_plug_ac","Extension Plug","socket","TS0041;TS0042;TS0043;TS0044;TS004F;TS0502B;TS0505B;_TZ1800_ejwkn2h2;_TZ1800_fcdjzz3s;_TZ2000_a476raq2;_TZ2000_avdnvykf;_TZ2000_hjsgdkfl;_TZ3000_01gpyda5;_TZ3000_0dumfk2z;_TZ3000_0ghwhypc;_TZ3000_0ht8dnxj;_TZ3000_0s1izerx;_TZ3000_26fmupbb;_TZ3000_4uuaja4a;_TZ3000_cehuw1lw;_TZ3000_cphmq0q7;_TZ3000_dbou1ap4;_TZ3000_fvh3pjaz;_TZ3000_g5xawfcq;_TZ3000_ji4araar;_TZ3000_n2egfsli;_TZ3000_odygigth;_TZ3000_qzjcsmar;_TZ3000_tk3s5tyg;_TZ3000_uim07oem;_TZ3000_vp6clf9d;_TZ3000_xabckq1v;_TZE200_81isopgh;_TZE200_m9skfctm;_TZE200_wfxuhoea;TS0005;TS0006;TS0501;_TZ3000_1obwwnmq;_TZ3000_4uf3d0ax;_TZ3000_vmpbygs5;_TZ3000_vzopcetz;_TZ3000_wzauvbcs;_TZ3000_9djocypn;_TZ3000_kdi2o9m6;_TZ3000_rdtixbnu;_TZ3000_okaz9tjs","TS011F;TS0001;TS0121","onoff;measure_power;meter_power;measure_voltage;measure_current","ac"
"fan_controller_ac","Fan Controller","sensor","TS0041;TS0042;TS0043;TS0044;TS004F;TS0502B;TS0505B;_TZ1800_ejwkn2h2;_TZ1800_fcdjzz3s;_TZ2000_a476raq2;_TZ2000_avdnvykf;_TZ2000_hjsgdkfl;_TZ3000_01gpyda5;_TZ3000_0dumfk2z;_TZ3000_0ghwhypc;_TZ3000_0ht8dnxj;_TZ3000_0s1izerx;_TZ3000_26fmupbb;_TZ3000_4uuaja4a;_TZ3000_cehuw1lw;_TZ3000_cphmq0q7;_TZ3000_dbou1ap4;_TZ3000_fllyghyj;_TZ3000_fvh3pjaz;_TZ3000_g5xawfcq;_TZ3000_ji4araar;_TZ3000_kmh5qpmb;_TZ3000_mcxw5ehu;_TZ3000_mmtwjmaq;_TZ3000_n2egfsli;_TZ3000_odygigth;_TZ3000_qzjcsmar;_TZ3000_tk3s5tyg;_TZ3000_uim07oem;_TZ3000_vp6clf9d;_TZ3000_xabckq1v;_TZE200_81isopgh;_TZE200_bjawzodf;_TZE200_cwbvmsar;_TZE200_dwcarsat;_TZE200_m9skfctm;_TZE200_ryfmq5rl;_TZE200_wfxuhoea;TS0005;TS0006;TS0501","TS130F","onoff;dim","ac"
"fingerprint_lock_battery","Fingerprint Lock (Battery)","lock","TS0041;TS0042;TS0043;TS0044;TS004F;TS0502B;TS0505B;_TZ1800_ejwkn2h2;_TZ1800_fcdjzz3s;_TZ2000_a476raq2;_TZ2000_avdnvykf;_TZ2000_hjsgdkfl;_TZ3000_01gpyda5;_TZ3000_0dumfk2z;_TZ3000_0ghwhypc;_TZ3000_0ht8dnxj;_TZ3000_0s1izerx;_TZ3000_26fmupbb;_TZ3000_4uuaja4a;_TZ3000_cehuw1lw;_TZ3000_cphmq0q7;_TZ3000_dbou1ap4;_TZ3000_fvh3pjaz;_TZ3000_g5xawfcq;_TZ3000_ji4araar;_TZ3000_kmh5qpmb;_TZ3000_mcxw5ehu;_TZ3000_mmtwjmaq;_TZ3000_n2egfsli;_TZ3000_odygigth;_TZ3000_qzjcsmar;_TZ3000_tk3s5tyg;_TZ3000_uim07oem;_TZ3000_vp6clf9d;_TZ3000_xabckq1v;_TZE200_81isopgh;_TZE200_dwcarsat;_TZE200_m9skfctm;_TZE200_ryfmq5rl;_TZE200_wfxuhoea;_TZ3000_1dd0d5yi;_TZ3000_2mbfxlzr;_TZ3000_46t1rvdu;_TZ3000_4rbqgcuv;_TZ3000_5e2f3n2h;_TZ3000_8nkb7mof;_TZ3000_9hpxg80k;_TZ3000_aaifmpuq;_TZ3000_ali1q8p0;_TZ3000_bffkdmp8;_TZ3000_bn4t9du1;_TZ3000_cfnprab5;_TZ3000_cymsnfvf;_TZ3000_ddcqbtgs;_TZ3000_dfgbtub0;_TZ3000_dlhhrhs8;_TZ3000_dpo1ysak;_TZ3000_dziaict4","TS0001","locked;measure_battery;alarm_generic","battery"
"formaldehyde_sensor_battery","Formaldehyde Sensor (Battery)","sensor","TS0041;TS0042;TS0043;TS0044;_TZ3000_01gpyda5;_TZ3000_0dumfk2z;_TZ3000_0ghwhypc;_TZ3000_0ht8dnxj;_TZ3000_0s1izerx;_TZ3000_26fmupbb;_TZ3000_4uuaja4a;_TZ3000_fllyghyj;_TZ3000_kmh5qpmb;_TZ3000_mcxw5ehu;_TZ3000_mmtwjmaq;_TZ3000_n2egfsli;_TZ3000_tk3s5tyg;_TZE200_81isopgh;_TZE200_bjawzodf;_TZE200_cwbvmsar;_TZE200_dwcarsat;_TZE200_m9skfctm;_TZE200_ryfmq5rl;_TZ3000_1dd0d5yi;_TZ3000_2mbfxlzr;_TZ3000_46t1rvdu;_TZ3000_4rbqgcuv;_TZ3000_5e2f3n2h;_TZ3000_8nkb7mof;_TZ3000_9hpxg80k;_TZ3000_aaifmpuq;_TZ3000_ali1q8p0;_TZ3000_bffkdmp8;_TZ3000_bn4t9du1;_TZ3000_cehuw1lw;_TZ3000_cfnprab5;_TZ3000_cphmq0q7;_TZ3000_cymsnfvf;_TZ3000_ddcqbtgs;_TZ3000_dfgbtub0;_TZ3000_dlhhrhs8;_TZ3000_dpo1ysak;_TZ3000_dziaict4","TS0001","measure_temperature;alarm_motion;measure_luminance;measure_battery","battery"
"garage_door_controller_ac","Garage Door Controller (Battery)","sensor","TS0041;TS0042;TS0043;TS0044;_TZ3000_01gpyda5;_TZ3000_0dumfk2z;_TZ3000_0ghwhypc;_TZ3000_0ht8dnxj;_TZ3000_0s1izerx;_TZ3000_26fmupbb;_TZ3000_4uuaja4a;_TZ3000_fllyghyj;_TZ3000_kmh5qpmb;_TZ3000_mcxw5ehu;_TZ3000_mmtwjmaq;_TZ3000_n2egfsli;_TZ3000_tk3s5tyg;_TZE200_81isopgh;_TZE200_bjawzodf;_TZE200_cwbvmsar;_TZE200_dwcarsat;_TZE200_m9skfctm;_TZE200_ryfmq5rl;TS0005;TS0006;TS0501;_TZ3210_eymunffl","TS130F","garagedoor_closed;button.open;button.close;alarm_contact;measure_battery","battery"
"garage_door_opener_cr2032","Garage Door Opener (Battery)","sensor","TS0041;TS0042;TS0043;TS0044;_TZ3000_01gpyda5;_TZ3000_0dumfk2z;_TZ3000_0ghwhypc;_TZ3000_0ht8dnxj;_TZ3000_0s1izerx;_TZ3000_26fmupbb;_TZ3000_4uuaja4a;_TZ3000_fllyghyj;_TZ3000_kmh5qpmb;_TZ3000_mcxw5ehu;_TZ3000_mmtwjmaq;_TZ3000_n2egfsli;_TZ3000_tk3s5tyg;_TZE200_81isopgh;_TZE200_bjawzodf;_TZE200_cwbvmsar;_TZE200_dwcarsat;_TZE200_m9skfctm;_TZE200_ryfmq5rl;_TZE200_wfxuhoea","TS0001","locked;measure_battery;alarm_contact","battery"
"gas_detector_battery","Gas Detector (Battery)","sensor","TS0041;TS0042;TS0043;TS0044;TS004F;TS0502B;TS0505B;_TZ1800_ejwkn2h2;_TZ1800_fcdjzz3s;_TZ2000_a476raq2;_TZ2000_avdnvykf;_TZ2000_hjsgdkfl;_TZ3000_01gpyda5;_TZ3000_0dumfk2z;_TZ3000_0ghwhypc;_TZ3000_0ht8dnxj;_TZ3000_0s1izerx;_TZ3000_26fmupbb;_TZ3000_4uuaja4a;_TZ3000_cehuw1lw;_TZ3000_cphmq0q7;_TZ3000_dbou1ap4;_TZ3000_fllyghyj;_TZ3000_fvh3pjaz;_TZ3000_g5xawfcq;_TZ3000_ji4araar;_TZ3000_kmh5qpmb;_TZ3000_mcxw5ehu;_TZ3000_mmtwjmaq;_TZ3000_n2egfsli;_TZ3000_odygigth;_TZ3000_qzjcsmar;_TZ3000_tk3s5tyg;_TZ3000_uim07oem;_TZ3000_vp6clf9d;_TZ3000_xabckq1v;_TZE200_81isopgh;_TZE200_bjawzodf;_TZE200_cwbvmsar;_TZE200_dwcarsat;_TZE200_m9skfctm;_TZE200_ryfmq5rl;_TZE200_wfxuhoea;_TZ3000_1dd0d5yi;_TZ3000_2mbfxlzr;_TZ3000_46t1rvdu;_TZ3000_4rbqgcuv;_TZ3000_5e2f3n2h;_TZ3000_8nkb7mof;_TZ3000_9hpxg80k;_TZ3000_aaifmpuq;_TZ3000_ali1q8p0;_TZ3000_bffkdmp8;_TZ3000_bn4t9du1;_TZ3000_cfnprab5;_TZ3000_cymsnfvf;_TZ3000_ddcqbtgs;_TZ3000_dfgbtub0;_TZ3000_dlhhrhs8;_TZ3000_dpo1ysak;_TZ3000_dziaict4","TS0001","onoff;measure_temperature;alarm_motion;alarm_co;measure_battery;alarm_battery","battery"
"gas_sensor_ts0601_ac","Gas Sensor TS0601 (AC)","sensor","_TZE200_yojqa8xn;_TZE204_yojqa8xn;_TZE200_ux5v4tgb;_TZE204_ux5v4tgb;_TZE200_ezqy5pvh;_TZE204_ezqy5pvh;TS0005;TS0006;TS0501","","alarm_co;alarm_smoke","ac"
"gas_sensor_ts0601_battery","Gas Sensor TS0601 (Battery)","sensor","_TZE200_ggev5fsl;_TZE204_ggev5fsl;_TZE284_rjgdhqqi;_TZ3000_1dd0d5yi;_TZ3000_2mbfxlzr;_TZ3000_46t1rvdu;_TZ3000_4rbqgcuv;_TZ3000_5e2f3n2h;_TZ3000_8nkb7mof;_TZ3000_9hpxg80k;_TZ3000_aaifmpuq;_TZ3000_ali1q8p0;_TZ3000_bffkdmp8;_TZ3000_bn4t9du1;_TZ3000_cehuw1lw;_TZ3000_cfnprab5;_TZ3000_cphmq0q7;_TZ3000_cymsnfvf;_TZ3000_ddcqbtgs;_TZ3000_dfgbtub0;_TZ3000_dlhhrhs8;_TZ3000_dpo1ysak;_TZ3000_dziaict4","","alarm_co;alarm_smoke;measure_battery;alarm_battery","battery"
"humidity_controller_ac","humidity controller (Battery)","sensor","_TZ3000_01gpyda5;_TZ3000_0dumfk2z;_TZ3000_0ghwhypc;_TZ3000_0ht8dnxj;_TZ3000_0s1izerx;_TZ3000_26fmupbb;_TZ3000_4uuaja4a;_TZ3000_fllyghyj;_TZ3000_kmh5qpmb;_TZ3000_mcxw5ehu;_TZ3000_mmtwjmaq;_TZ3000_n2egfsli;_TZE200_81isopgh;_TZE200_bjawzodf;_TZE200_cwbvmsar;_TZE200_dwcarsat;_TZE200_m9skfctm;_TZE200_ryfmq5rl;TS0005;TS0006;TS0501","TS130F","onoff;measure_temperature;measure_humidity;measure_battery","battery"
"hvac_controller_ac","Hvac Controller","sensor","_TZ3000_01gpyda5;_TZ3000_0dumfk2z;_TZ3000_0ghwhypc;_TZ3000_0ht8dnxj;_TZ3000_0s1izerx;_TZ3000_26fmupbb;_TZ3000_4uuaja4a;_TZ3000_fllyghyj;_TZ3000_kmh5qpmb;_TZ3000_mcxw5ehu;_TZ3000_mmtwjmaq;_TZ3000_n2egfsli;_TZE200_81isopgh;_TZE200_bjawzodf;_TZE200_cwbvmsar;_TZE200_dwcarsat;_TZE200_m9skfctm;_TZE200_ryfmq5rl;TS0005;TS0006;TS0501","TS130F","target_temperature;measure_temperature","ac"
"led_strip_advanced_ac","LED Strip Advanced","light","TS0041;TS0042;TS0043;TS0044;TS004F;TS0502B;TS0505B;_TZ1800_ejwkn2h2;_TZ1800_fcdjzz3s;_TZ2000_a476raq2;_TZ2000_avdnvykf;_TZ2000_hjsgdkfl;_TZ3000_01gpyda5;_TZ3000_0dumfk2z;_TZ3000_0ghwhypc;_TZ3000_0ht8dnxj;_TZ3000_0s1izerx;_TZ3000_26fmupbb;_TZ3000_4uuaja4a;_TZ3000_cehuw1lw;_TZ3000_cphmq0q7;_TZ3000_dbou1ap4;_TZ3000_fvh3pjaz;_TZ3000_g5xawfcq;_TZ3000_ji4araar;_TZ3000_n2egfsli;_TZ3000_odygigth;_TZ3000_qzjcsmar;_TZ3000_tk3s5tyg;_TZ3000_uim07oem;_TZ3000_vp6clf9d;_TZ3000_xabckq1v;_TZE200_81isopgh;_TZE200_m9skfctm;_TZE200_wfxuhoea;TS0501;TS0005;TS0006","","onoff;dim;light_hue;light_saturation;light_temperature","ac"
"led_strip_controller_ac","LED Strip Controller","sensor","TS0041;TS0042;TS0043;TS0044;TS004F;TS0502B;TS0505B;_TZ1800_ejwkn2h2;_TZ1800_fcdjzz3s;_TZ2000_a476raq2;_TZ2000_avdnvykf;_TZ2000_hjsgdkfl;_TZ3000_01gpyda5;_TZ3000_0dumfk2z;_TZ3000_0ghwhypc;_TZ3000_0ht8dnxj;_TZ3000_0s1izerx;_TZ3000_26fmupbb;_TZ3000_4uuaja4a;_TZ3000_cehuw1lw;_TZ3000_cphmq0q7;_TZ3000_dbou1ap4;_TZ3000_fvh3pjaz;_TZ3000_g5xawfcq;_TZ3000_ji4araar;_TZ3000_n2egfsli;_TZ3000_odygigth;_TZ3000_qzjcsmar;_TZ3000_tk3s5tyg;_TZ3000_uim07oem;_TZ3000_vp6clf9d;_TZ3000_xabckq1v;_TZ3210_eejm8dcr;_TZ3210_j4pdtz9v;_TZ3210_tgvtvdoc;_TZ3290_gnl5a6a5;_TZE200_81isopgh;_TZE200_m9skfctm;_TZE200_wfxuhoea;TS0501;TS0005;TS0006;_TZ3000_dl4pxp1r;_TZ3000_gek6snaj;_TZ3000_i8l0nqdu;_TZ3000_obacbukl;_TZ3000_qqjaziws;_TZ3000_ukuvyhaa;_TZ3210_invesber;_TZ3210_k1pe6ibm","TS0501A;TS0502A","onoff;dim;light_hue;light_saturation;light_temperature","ac"
"led_strip_controller_pro_ac","led strip controller pro","sensor","TS0041;TS0042;TS0043;TS0044;TS004F;TS0502B;TS0505B;_TZ1800_ejwkn2h2;_TZ1800_fcdjzz3s;_TZ2000_a476raq2;_TZ2000_avdnvykf;_TZ2000_hjsgdkfl;_TZ3000_01gpyda5;_TZ3000_0dumfk2z;_TZ3000_0ghwhypc;_TZ3000_0ht8dnxj;_TZ3000_0s1izerx;_TZ3000_26fmupbb;_TZ3000_4uuaja4a;_TZ3000_cehuw1lw;_TZ3000_cphmq0q7;_TZ3000_dbou1ap4;_TZ3000_fvh3pjaz;_TZ3000_g5xawfcq;_TZ3000_ji4araar;_TZ3000_n2egfsli;_TZ3000_odygigth;_TZ3000_qzjcsmar;_TZ3000_tk3s5tyg;_TZ3000_uim07oem;_TZ3000_vp6clf9d;_TZ3000_xabckq1v;_TZE200_81isopgh;_TZE200_m9skfctm;_TZE200_wfxuhoea;TS0501;TS0005;TS0006","","onoff;measure_temperature;dim;light_hue;light_saturation;light_temperature","ac"
"led_strip_outdoor_color_ac","Led Strip Outdoor Color Ac","light","Signify Netherlands B.V.;_TZE200_s8gkrkxk","LST006","onoff;dim;light_hue;light_saturation","ac"
"lux_sensor_battery","Lux Sensor (Battery)","sensor","TS0041;TS0042;TS0043;TS0044;_TZ3000_01gpyda5;_TZ3000_0dumfk2z;_TZ3000_0ghwhypc;_TZ3000_0ht8dnxj;_TZ3000_0s1izerx;_TZ3000_26fmupbb;_TZ3000_4uuaja4a;_TZ3000_fllyghyj;_TZ3000_kmh5qpmb;_TZ3000_mcxw5ehu;_TZ3000_mmtwjmaq;_TZ3000_n2egfsli;_TZ3000_tk3s5tyg;_TZE200_81isopgh;_TZE200_bjawzodf;_TZE200_cwbvmsar;_TZE200_dwcarsat;_TZE200_m9skfctm;_TZE200_ryfmq5rl;_TZ3000_1dd0d5yi;_TZ3000_2mbfxlzr;_TZ3000_46t1rvdu;_TZ3000_4rbqgcuv;_TZ3000_5e2f3n2h;_TZ3000_8nkb7mof;_TZ3000_9hpxg80k;_TZ3000_aaifmpuq;_TZ3000_ali1q8p0;_TZ3000_bffkdmp8;_TZ3000_bn4t9du1;_TZ3000_cehuw1lw;_TZ3000_cfnprab5;_TZ3000_cphmq0q7;_TZ3000_cymsnfvf;_TZ3000_ddcqbtgs;_TZ3000_dfgbtub0;_TZ3000_dlhhrhs8;_TZ3000_dpo1ysak;_TZ3000_dziaict4","TS0001","measure_temperature;alarm_motion;measure_luminance;measure_battery","battery"
"milight_controller_ac","Mi-Light Controller","sensor","TS0041;TS0042;TS0043;TS0044;TS004F;TS0502B;TS0505B;_TZ1800_ejwkn2h2;_TZ1800_fcdjzz3s;_TZ2000_a476raq2;_TZ2000_avdnvykf;_TZ2000_hjsgdkfl;_TZ3000_01gpyda5;_TZ3000_0dumfk2z;_TZ3000_0ghwhypc;_TZ3000_0ht8dnxj;_TZ3000_0s1izerx;_TZ3000_26fmupbb;_TZ3000_4uuaja4a;_TZ3000_cehuw1lw;_TZ3000_cphmq0q7;_TZ3000_dbou1ap4;_TZ3000_fvh3pjaz;_TZ3000_g5xawfcq;_TZ3000_ji4araar;_TZ3000_n2egfsli;_TZ3000_odygigth;_TZ3000_qzjcsmar;_TZ3000_tk3s5tyg;_TZ3000_uim07oem;_TZ3000_vp6clf9d;_TZ3000_xabckq1v;_TZE200_81isopgh;_TZE200_m9skfctm;_TZE200_wfxuhoea;TS0501;TS0005;TS0006","TS0001","onoff;dim;light_hue;light_saturation;light_temperature;light_mode","ac"
"mini_ac","Mini Switch AC","sensor","TS0041;TS0042;TS0043;TS0044;TS004F;TS0502B;TS0505B;_TZ1800_ejwkn2h2;_TZ1800_fcdjzz3s;_TZ2000_a476raq2;_TZ2000_avdnvykf;_TZ2000_hjsgdkfl;_TZ3000_01gpyda5;_TZ3000_0dumfk2z;_TZ3000_0ghwhypc;_TZ3000_0ht8dnxj;_TZ3000_0s1izerx;_TZ3000_26fmupbb;_TZ3000_4uuaja4a;_TZ3000_cehuw1lw;_TZ3000_cphmq0q7;_TZ3000_dbou1ap4;_TZ3000_fvh3pjaz;_TZ3000_g5xawfcq;_TZ3000_ji4araar;_TZ3000_n2egfsli;_TZ3000_odygigth;_TZ3000_qzjcsmar;_TZ3000_tk3s5tyg;_TZ3000_uim07oem;_TZ3000_vp6clf9d;_TZ3000_xabckq1v;_TZE200_81isopgh;_TZE200_dwcarsat;_TZE200_m9skfctm;_TZE200_ryfmq5rl;_TZE200_wfxuhoea;TS0005;TS0006;TS0501","TS0001","onoff;dim","ac"
"mini_switch_cr2032","Mini Switch (Battery)","sensor","TS0041;TS0042;TS0043;TS0044;TS004F;TS0502B;TS0505B;_TZ1800_ejwkn2h2;_TZ1800_fcdjzz3s;_TZ2000_a476raq2;_TZ2000_avdnvykf;_TZ2000_hjsgdkfl;_TZ3000_01gpyda5;_TZ3000_0dumfk2z;_TZ3000_0ghwhypc;_TZ3000_0ht8dnxj;_TZ3000_0s1izerx;_TZ3000_26fmupbb;_TZ3000_4uuaja4a;_TZ3000_cehuw1lw;_TZ3000_cphmq0q7;_TZ3000_dbou1ap4;_TZ3000_fvh3pjaz;_TZ3000_g5xawfcq;_TZ3000_ji4araar;_TZ3000_n2egfsli;_TZ3000_odygigth;_TZ3000_qzjcsmar;_TZ3000_tk3s5tyg;_TZ3000_uim07oem;_TZ3000_vp6clf9d;_TZ3000_xabckq1v;_TZE200_81isopgh;_TZE200_m9skfctm;_TZE200_wfxuhoea;TS0005;TS0006","TS0001;TS0201","onoff;measure_battery;dim","battery"
