Driver ID,Name,Class,Manufacturers,Models,Capabilities,Power Source
"co2_sensor_battery","CO₂ Sensor (Battery)","sensor","TS0041;TS0042;TS0043;TS0044;_TZ3000_01gpyda5;_TZ3000_0dumfk2z;_TZ3000_0ghwhypc;_TZ3000_0ht8dnxj;_TZ3000_0s1izerx;_TZ3000_26fmupbb;_TZ3000_4uuaja4a;_TZ3000_fllyghyj;_TZ3000_kmh5qpmb;_TZ3000_mcxw5ehu;_TZ3000_mmtwjmaq;_TZ3000_n2egfsli;_TZ3000_tk3s5tyg;_TZE200_81isopgh;_TZE200_bjawzodf;_TZE200_cwbvmsar;_TZE200_dwcarsat;_TZE200_m9skfctm;_TZE200_ryfmq5rl;_TZ3000_1dd0d5yi;_TZ3000_2mbfxlzr;_TZ3000_46t1rvdu;_TZ3000_4rbqgcuv;_TZ3000_5e2f3n2h;_TZ3000_8nkb7mof;_TZ3000_9hpxg80k;_TZ3000_aaifmpuq;_TZ3000_ali1q8p0;_TZ3000_bffkdmp8;_TZ3000_bn4t9du1;_TZ3000_cehuw1lw;_TZ3000_cfnprab5;_TZ3000_cphmq0q7;_TZ3000_cymsnfvf;_TZ3000_ddcqbtgs;_TZ3000_dfgbtub0;_TZ3000_dlhhrhs8;_TZ3000_dpo1ysak;_TZ3000_dziaict4","TS0001","measure_co2;measure_temperature;alarm_motion;measure_luminance;measure_battery;alarm_co2","battery"
"co2_temp_humidity_cr2032","co2 temp humidity (Battery)","sensor","_TZ3000_01gpyda5;_TZ3000_0dumfk2z;_TZ3000_0ghwhypc;_TZ3000_0ht8dnxj;_TZ3000_0s1izerx;_TZ3000_26fmupbb;_TZ3000_4uuaja4a;_TZ3000_fllyghyj;_TZ3000_kmh5qpmb;_TZ3000_mcxw5ehu;_TZ3000_mmtwjmaq;_TZ3000_n2egfsli;_TZE200_81isopgh;_TZE200_bjawzodf;_TZE200_cwbvmsar;_TZE200_dwcarsat;_TZE200_m9skfctm;_TZE200_ryfmq5rl;_TZE200_rxq4iti9;_TZ3000_ywagc4rj;_TZ3000_zl1kmjqx;_TZE200_whpb9yts;_TZE200_locansqn;_TZE200_bq5c8xfe;_TZ3000_itnrsufe;_TZ3000_qaaysllp","TS0201;TS0601","onoff;measure_temperature;measure_humidity;measure_battery","battery"
"co_detector_pro_battery","CO Detector Pro (Battery)","sensor","TS0041;TS0042;TS0043;TS0044;_TZ3000_01gpyda5;_TZ3000_0dumfk2z;_TZ3000_0ghwhypc;_TZ3000_0ht8dnxj;_TZ3000_0s1izerx;_TZ3000_26fmupbb;_TZ3000_4uuaja4a;_TZ3000_fllyghyj;_TZ3000_kmh5qpmb;_TZ3000_mcxw5ehu;_TZ3000_mmtwjmaq;_TZ3000_n2egfsli;_TZ3000_tk3s5tyg;_TZE200_81isopgh;_TZE200_bjawzodf;_TZE200_cwbvmsar;_TZE200_dwcarsat;_TZE200_m9skfctm;_TZE200_ryfmq5rl;_TZE200_wfxuhoea;_TZ3000_1dd0d5yi;_TZ3000_2mbfxlzr;_TZ3000_46t1rvdu;_TZ3000_4rbqgcuv;_TZ3000_5e2f3n2h;_TZ3000_8nkb7mof;_TZ3000_9hpxg80k;_TZ3000_aaifmpuq;_TZ3000_ali1q8p0;_TZ3000_bffkdmp8;_TZ3000_bn4t9du1;_TZ3000_cehuw1lw;_TZ3000_cfnprab5;_TZ3000_cphmq0q7;_TZ3000_cymsnfvf;_TZ3000_ddcqbtgs;_TZ3000_dfgbtub0;_TZ3000_dlhhrhs8;_TZ3000_dpo1ysak;_TZ3000_dziaict4;MOES","","alarm_co;measure_co;measure_battery","battery"
"comprehensive_air_monitor_ac","Comprehensive Air Monitor","sensor","_TZ3000_01gpyda5;_TZ3000_0dumfk2z;_TZ3000_0ghwhypc;_TZ3000_0ht8dnxj;_TZ3000_0s1izerx;_TZ3000_26fmupbb;_TZ3000_4uuaja4a;_TZ3000_fllyghyj;_TZ3000_kmh5qpmb;_TZ3000_mcxw5ehu;_TZ3000_mmtwjmaq;_TZ3000_n2egfsli;_TZE200_81isopgh;_TZE200_bjawzodf;_TZE200_cwbvmsar;_TZE200_dwcarsat;_TZE200_m9skfctm;_TZE200_ryfmq5rl;TS0005;TS0006;TS0501","","measure_temperature;measure_humidity;measure_co2;measure_pm25","ac"
"contact_sensor_battery","Contact Sensor Battery (Battery)","sensor","IKEA of Sweden;_TZ3000_26fmupbb;_TZ3000_n2egfsli;_TZ3000_2mbfxlzr;_TZ3000_4ugnzsli;_TZ3000_oxslv1c9;_TZ3000_7d8yme6f","E2492;TS0203","alarm_contact;measure_battery","battery"
"curtain_motor_ac","Curtain Motor (Battery)","other","_TZ3000_qzjcsmar;_TZE200_3towulqd;_TZE200_8ygsuhe1;_TZE200_a8sdabtg;_TZE200_cowvfni3;_TZE200_fctwhugx;_TZE200_npj9bug3;_TZE200_sfqyhvpv;_TZE200_u6x1zyv2;_TZE200_wqashyqo;_TZE284_uqfph8ah;TS0005;TS0006;TS0501;_TZE200_ol5jlkkr;_TZ3210_dwytrmda;_TZ3210_ol1uhvza;_TZE204_1fuxihti","TS130F","onoff;windowcoverings_set;windowcoverings_tilt_set;measure_battery;windowcoverings_state;dim","battery"
"dimmer_ac","Dimmer Switch","light","TS0041;TS0042;TS0043;TS0044;TS004F;TS0502B;TS0505B;_TZ1800_ejwkn2h2;_TZ1800_fcdjzz3s;_TZ2000_a476raq2;_TZ2000_avdnvykf;_TZ2000_hjsgdkfl;_TZ3000_01gpyda5;_TZ3000_0dumfk2z;_TZ3000_0ghwhypc;_TZ3000_0ht8dnxj;_TZ3000_0s1izerx;_TZ3000_26fmupbb;_TZ3000_4uuaja4a;_TZ3000_cehuw1lw;_TZ3000_cphmq0q7;_TZ3000_dbou1ap4;_TZ3000_fvh3pjaz;_TZ3000_g5xawfcq;_TZ3000_ji4araar;_TZ3000_n2egfsli;_TZ3000_odygigth;_TZ3000_qzjcsmar;_TZ3000_tk3s5tyg;_TZ3000_uim07oem;_TZ3000_vp6clf9d;_TZ3000_xabckq1v;_TZE200_81isopgh;_TZE200_m9skfctm;_TZE200_wfxuhoea;TS0005;TS0006;TS0501;_TZE200_3p5ydos3","TS110E;TS0001","onoff;dim","ac"
"dimmer_switch_1gang_ac","Dimmer Switch 1-Gang AC","socket","TS0041;TS0042;TS0043;TS0044;TS004F;TS0502B;TS0505B;_TZ1800_ejwkn2h2;_TZ1800_fcdjzz3s;_TZ2000_a476raq2;_TZ2000_avdnvykf;_TZ2000_hjsgdkfl;_TZ3000_01gpyda5;_TZ3000_0dumfk2z;_TZ3000_0ghwhypc;_TZ3000_0ht8dnxj;_TZ3000_0s1izerx;_TZ3000_26fmupbb;_TZ3000_4uuaja4a;_TZ3000_cehuw1lw;_TZ3000_cphmq0q7;_TZ3000_dbou1ap4;_TZ3000_fvh3pjaz;_TZ3000_g5xawfcq;_TZ3000_ji4araar;_TZ3000_n2egfsli;_TZ3000_odygigth;_TZ3000_qzjcsmar;_TZ3000_tk3s5tyg;_TZ3000_uim07oem;_TZ3000_vp6clf9d;_TZ3000_xabckq1v;_TZE200_81isopgh;_TZE200_m9skfctm;_TZE200_wfxuhoea;TS0005;TS0006;TS0501;_TYZB01_qezuin6k;_TZ3000_92chsky7;_TZ3000_ktuoyvt5;_TZ3000_mgusv51k;_TZ3210_k1msuvg6;_TZ3210_ngqk6jia;_TZ3210_weaqkhab;_TZ3210_zxbtub8r;_TZE200_1agwnems;_TZE200_4mh6tyyo;_TZE200_579lguh2;_TZE200_ip2akl4w;_TZE200_la2c2uo9;_TZE200_vucankjx;_TZE204_9qhuzgo0;_TZE204_hlx9tnzb;_TZE204_n9ctkb6j","TS110E;TS0001","onoff;dim","ac"
"dimmer_switch_3gang_ac","Dimmer Switch 3-Gang AC","socket","TS0041;TS0042;TS0043;TS0044;TS004F;TS0502B;TS0505B;_TZ1800_ejwkn2h2;_TZ1800_fcdjzz3s;_TZ2000_a476raq2;_TZ2000_avdnvykf;_TZ2000_hjsgdkfl;_TZ3000_01gpyda5;_TZ3000_0dumfk2z;_TZ3000_0ghwhypc;_TZ3000_0ht8dnxj;_TZ3000_0s1izerx;_TZ3000_26fmupbb;_TZ3000_4uuaja4a;_TZ3000_cehuw1lw;_TZ3000_cphmq0q7;_TZ3000_dbou1ap4;_TZ3000_fvh3pjaz;_TZ3000_g5xawfcq;_TZ3000_ji4araar;_TZ3000_n2egfsli;_TZ3000_odygigth;_TZ3000_qzjcsmar;_TZ3000_tk3s5tyg;_TZ3000_uim07oem;_TZ3000_vp6clf9d;_TZ3000_xabckq1v;_TZE200_81isopgh;_TZE200_m9skfctm;_TZE200_wfxuhoea;TS0005;TS0006;TS0501;_TYZB01_v8gtiaed;_TZ3210_3mpwqzuu;_TZ3210_4ubylghk;_TZ3210_pagajpog;_TZ3210_wdexaypg;_TZE200_e3oitdyu;_TZE200_fjjbhx9d;_TZE200_gwkapsoq;_TZE204_bxoo2swd;_TZE204_zenj4lxv","TS110E;TS0001","onoff;onoff.gang2;onoff.gang3","ac"
"dimmer_switch_timer_module_ac","Dimmer Switch Timer Module","light","TS0041;TS0042;TS0043;TS0044;TS004F;TS0502B;TS0505B;_TZ1800_ejwkn2h2;_TZ1800_fcdjzz3s;_TZ2000_a476raq2;_TZ2000_avdnvykf;_TZ2000_hjsgdkfl;_TZ3000_01gpyda5;_TZ3000_0dumfk2z;_TZ3000_0ghwhypc;_TZ3000_0ht8dnxj;_TZ3000_0s1izerx;_TZ3000_26fmupbb;_TZ3000_4uuaja4a;_TZ3000_cehuw1lw;_TZ3000_cphmq0q7;_TZ3000_dbou1ap4;_TZ3000_fvh3pjaz;_TZ3000_g5xawfcq;_TZ3000_ji4araar;_TZ3000_n2egfsli;_TZ3000_odygigth;_TZ3000_qzjcsmar;_TZ3000_tk3s5tyg;_TZ3000_uim07oem;_TZ3000_vp6clf9d;_TZ3000_xabckq1v;_TZE200_81isopgh;_TZE200_m9skfctm;_TZE200_wfxuhoea;TS0005;TS0006;TS0501","TS110E;TS0001","onoff;dim","ac"
