Driver,Has Assets,Image Count,Issues
zemismart_pir_radar_illumination_sensor_battery,Yes,4,
zemismart_pir_sensor_advanced_battery,Yes,4,
zemismart_pm25_detector_cr2032,Yes,4,
zemismart_presence_sensor_radar_battery,Yes,4,
zemismart_radar_motion_sensor_advanced_battery,Yes,4,
zemismart_radar_motion_sensor_mmwave_battery,Yes,4,
zemismart_roller_blind_controller_ac,Yes,4,
zemismart_roller_shutter_controller_ac,Yes,4,
zemismart_roller_shutter_switch_cr2032,Yes,4,
zemismart_scene_controller,Yes,4,
zemismart_smart_smoke_detector_advanced_battery,Yes,4,
zemismart_smart_switch_1gang_ac,Yes,4,
zemismart_smart_switch_1gang_hybrid,Yes,4,
zemismart_smart_switch_1gang_internal,Yes,4,
zemismart_smart_switch_3gang_ac,Yes,4,
zemismart_smart_switch_3gang_cr2032,Yes,4,
zemismart_smart_switch_3gang_hybrid,Yes,4,
zemismart_smart_switch_4gang_cr2032,Yes,4,
zemismart_smoke_detector_temp_humidity_advanced_battery,Yes,4,
zemismart_smoke_temp_humid_sensor_battery,Yes,4,
zemismart_solar_panel_controller_aaa,Yes,4,
zemismart_solar_panel_controller_cr2032,Yes,4,
zemismart_sound_controller_other,Yes,3,
zemismart_switch_1gang_battery,Yes,4,
zemismart_switch_5gang_battery,Yes,4,
zemismart_temperature_controller_hybrid,Yes,4,
zemismart_temperature_sensor_aaa,Yes,4,
zemismart_temperature_sensor_advanced_aaa,Yes,4,
zemismart_temperature_sensor_advanced_battery,Yes,4,
zemismart_temperature_sensor_advanced_cr2032,Yes,4,
zemismart_temperature_sensor_battery,Yes,4,
zemismart_temperature_sensor_cr2032,Yes,4,
zemismart_temp_humid_sensor_advanced_battery,Yes,4,
zemismart_temp_humid_sensor_leak_detector_battery,Yes,4,
zemismart_touch_switch_1gang_ac,Yes,4,
zemismart_touch_switch_3gang_ac,Yes,4,
zemismart_valve_smart_aa,Yes,4,
zemismart_wall_switch_1gang_ac,Yes,4,
zemismart_wall_switch_1gang_dc,Yes,4,
zemismart_wall_switch_3gang_ac,Yes,4,
zemismart_wall_switch_3gang_dc,Yes,4,
zemismart_water_leak_sensor_battery,Yes,4,
zemismart_wireless_scene_controller_4button_battery,Yes,4,
zemismart_wireless_switch_1button_cr2032,Yes,4,
zemismart_wireless_switch_1button_cr2450,Yes,4,
zemismart_wireless_switch_1gang_cr2032,Yes,4,
zemismart_wireless_switch_2button_cr2032,Yes,4,
zemismart_wireless_switch_3button_cr2032,Yes,4,
zemismart_wireless_switch_4button_cr2032,Yes,4,
zemismart_wireless_switch_6button_cr2032,Yes,4,
zemismart_wireless_switch_8button_cr2032,Yes,4,
